Model,Parameters,Test Accuracy (mean),Test Accuracy (std),ROC-AUC (mean),ROC-AUC (std)
GRU (hidden=128),50562,0.9740740740740741,0.013608276348795434,0.9894718792866941,0.007300258933415905
LSTM 2L (hidden=64),50562,0.9722222222222223,0.013094570021973099,0.9906378600823045,0.005580057402233606
LSTM (hidden=32),4546,0.9722222222222223,0.015493704195075461,0.9913923182441702,0.005376984121404531
LSTM (hidden=128),67330,0.9722222222222223,0.013094570021973099,0.9911865569272976,0.005327765839763638
GRU (hidden=32),3426,0.9722222222222221,0.013094570021973099,0.9887860082304527,0.007280901663354904
GRU (hidden=64),12994,0.9722222222222221,0.008281733249999259,0.989883401920439,0.0069286556954319895
RNN (hidden=32),1186,0.9703703703703704,0.016972502573910513,0.9873456790123457,0.008977053916115156
GRU 2L (hidden=64),37954,0.9703703703703704,0.013608276348795434,0.9893347050754459,0.006697698554586386
GRU 2L (hidden=128),149634,0.9703703703703704,0.0148148148148148,0.9897462277091907,0.006428920798601086
LSTM 2L (hidden=128),199426,0.9703703703703704,0.0148148148148148,0.9907750342935527,0.006129247081686898
LSTM (hidden=64),17282,0.9703703703703704,0.012283795519834802,0.9913923182441702,0.005268721992348026
GRU 2L (hidden=32),9762,0.9685185185185186,0.01255987033912087,0.9887860082304527,0.007220890089575783
RNN (hidden=64),4418,0.9685185185185186,0.013857990321384947,0.9892661179698218,0.006866936082734613
LSTM 2L (hidden=32),12994,0.9685185185185186,0.011111111111111132,0.9911865569272976,0.005111465263069065
RNN 2L (hidden=64),12738,0.9666666666666666,0.012559870339120876,0.9865226337448559,0.009067775664460759
RNN 2L (hidden=128),50050,0.9666666666666666,0.011111111111111108,0.9858367626886146,0.008927923234717645
RNN (hidden=128),17026,0.9648148148148149,0.013608276348795443,0.9824759945130316,0.014032894992646336
RNN 2L (hidden=32),3298,0.9648148148148149,0.014814814814814834,0.9889917695473252,0.0061655955056157015
