Model,Description,Parameters,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Final Train Loss,Final Test Loss,Best Epoch
RNN 2L (hidden=32),"RNN 2 layers, dropout 0.2",3298,0.9722222222222222,0.9723842195540309,0.9722222222222222,0.9722198405213068,0.9804526748971193,0.9853449641999952,0.10716495529881545,0.20247760321944952,16
RNN (hidden=64),RNN 1 layer,4418,0.9722222222222222,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9804526748971193,0.9862337116752323,0.1065655192360282,0.19717585388571024,19
LSTM 2L (hidden=64),"LSTM 2 layers, dropout 0.2",50562,0.9722222222222222,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9855967078189299,0.9881251784181179,0.11524316322590623,0.1942950328812003,12
LSTM 2L (hidden=32),"LSTM 2 layers, dropout 0.2",12994,0.9722222222222222,0.9723842195540309,0.9722222222222222,0.9722198405213068,0.9842249657064472,0.9871167969266447,0.10314512079847711,0.18862277455627918,15
GRU 2L (hidden=128),"GRU 2 layers, dropout 0.2",149634,0.9722222222222222,0.9538593481989708,0.9537037037037037,0.9536997342021778,0.9828532235939643,0.9862677906813708,0.10657853912562132,0.19320911075919867,7
GRU 2L (hidden=64),"GRU 2 layers, dropout 0.2",37954,0.9722222222222222,0.9723842195540309,0.9722222222222222,0.9722198405213068,0.9821673525377229,0.9859802522965836,0.12390520450259958,0.19710743706673384,8
GRU 2L (hidden=32),"GRU 2 layers, dropout 0.2",9762,0.9722222222222222,0.946896551724138,0.9444444444444444,0.944368131868132,0.9797668038408778,0.9848403724970061,0.11781473537640912,0.2026084093376994,3
RNN 2L (hidden=128),"RNN 2 layers, dropout 0.2",50050,0.9722222222222222,0.963598901098901,0.9629629629629629,0.96295025728988,0.9814814814814815,0.9859458386638615,0.11921524276424732,0.19979030638933182,6
RNN 2L (hidden=64),"RNN 2 layers, dropout 0.2",12738,0.9722222222222222,0.955108359133127,0.9537037037037037,0.9536679536679536,0.9849108367626885,0.9880649170918718,0.09451518833105053,0.2123598325997591,23
LSTM 2L (hidden=128),"LSTM 2 layers, dropout 0.2",199426,0.9722222222222222,0.955108359133127,0.9537037037037037,0.9536679536679536,0.9859396433470508,0.9879876598512692,0.11854622752538749,0.2145803663879633,14
LSTM (hidden=32),LSTM 1 layer,4546,0.9722222222222222,0.955108359133127,0.9537037037037037,0.9536679536679536,0.983196159122085,0.9864544395046294,0.10629421951515335,0.18851386476308107,9
GRU (hidden=128),GRU 1 layer,50562,0.9722222222222222,0.9538593481989708,0.9537037037037037,0.9536997342021778,0.9845679012345678,0.988031030234189,0.10209743771702051,0.19837926886975765,16
GRU (hidden=64),GRU 1 layer,12994,0.9722222222222222,0.9723842195540309,0.9722222222222222,0.9722198405213068,0.9838820301783264,0.9876500809110041,0.09941730628322278,0.18906339537352324,13
LSTM (hidden=128),LSTM 1 layer,67330,0.9629629629629629,0.9538593481989708,0.9537037037037037,0.9536997342021778,0.9838820301783264,0.9865195665920153,0.09798872637163315,0.19422141555696726,7
LSTM (hidden=64),LSTM 1 layer,17282,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9835390946502057,0.9865064811870486,0.10230123757251672,0.1814759224653244,6
RNN (hidden=128),RNN 1 layer,17026,0.9629629629629629,0.9450549450549451,0.9444444444444444,0.94442538593482,0.9842249657064471,0.9875003520447896,0.11362952013899173,0.20194682013243437,10
GRU (hidden=32),GRU 1 layer,3426,0.9537037037037037,0.955108359133127,0.9537037037037037,0.9536679536679536,0.977366255144033,0.983349541169522,0.11189771110990218,0.20285391062498093,14
RNN (hidden=32),RNN 1 layer,1186,0.9537037037037037,0.955108359133127,0.9537037037037037,0.9536679536679536,0.9777091906721536,0.9824610928672511,0.12564485067767756,0.2010164326056838,18
