layer,shape,num_params,mean,std,min,max
gru.weight_ih_l0,"(192, 1)",192,0.0029361406341195107,0.08955930918455124,-0.17867562174797058,0.1870371401309967
gru.weight_hh_l0,"(192, 64)",12288,-0.0007560632075183094,0.07834974676370621,-0.2828483581542969,0.26609355211257935
gru.bias_ih_l0,"(192,)",192,0.01910841464996338,0.07617060095071793,-0.1344897747039795,0.19862614572048187
gru.bias_hh_l0,"(192,)",192,0.01011379063129425,0.07167036086320877,-0.16072729229927063,0.16137085855007172
gru.weight_ih_l1,"(192, 64)",12288,0.0007825074717402458,0.07750505208969116,-0.19961179792881012,0.18979094922542572
gru.weight_hh_l1,"(192, 64)",12288,-0.0006249603466130793,0.07626920938491821,-0.1953481137752533,0.20873939990997314
gru.bias_ih_l1,"(192,)",192,0.009867914952337742,0.07287609577178955,-0.12775059044361115,0.14333641529083252
gru.bias_hh_l1,"(192,)",192,0.0038147112354636192,0.0721287876367569,-0.14390744268894196,0.13998514413833618
fc.weight,"(2, 64)",128,0.001980808097869158,0.09072857350111008,-0.15945613384246826,0.16083025932312012
fc.bias,"(2,)",2,-0.02946573868393898,0.0071835145354270935,-0.036649253219366074,-0.022282224148511887
