layer,shape,num_params,mean,std,min,max
lstm.weight_ih_l0,"(128, 1)",128,0.00192162673920393,0.1456444263458252,-0.29131004214286804,0.29581624269485474
lstm.weight_hh_l0,"(128, 32)",4096,-0.002123401965945959,0.12203919887542725,-0.3544826805591583,0.30508166551589966
lstm.bias_ih_l0,"(128,)",128,0.02716735377907753,0.10891526192426682,-0.2007884383201599,0.22382795810699463
lstm.bias_hh_l0,"(128,)",128,0.029049107804894447,0.10979025065898895,-0.20453745126724243,0.2315480262041092
lstm.weight_ih_l1,"(128, 32)",4096,-0.0017226948402822018,0.12056698650121689,-0.31973421573638916,0.2958924174308777
lstm.weight_hh_l1,"(128, 32)",4096,-0.00018301827367395163,0.11705129593610764,-0.3366636037826538,0.3353031277656555
lstm.bias_ih_l1,"(128,)",128,0.023263705894351006,0.11392036825418472,-0.16548945009708405,0.23555558919906616
lstm.bias_hh_l1,"(128,)",128,0.028764303773641586,0.1031554639339447,-0.19865292310714722,0.21657294034957886
fc.weight,"(2, 32)",64,0.004244157578796148,0.1723937839269638,-0.28790462017059326,0.28630462288856506
fc.bias,"(2,)",2,0.004911774769425392,0.05676891654729843,-0.05185713991522789,0.061680689454078674
