layer,shape,num_params,mean,std,min,max
rnn.weight_ih_l0,"(32, 1)",32,0.0019623972475528717,0.13035081326961517,-0.2303895801305771,0.246430903673172
rnn.weight_hh_l0,"(32, 32)",1024,0.0025569917634129524,0.1107821837067604,-0.30597123503685,0.2581799626350403
rnn.bias_ih_l0,"(32,)",32,0.009216479025781155,0.10326284170150757,-0.16463743150234222,0.17558817565441132
rnn.bias_hh_l0,"(32,)",32,-0.01854548417031765,0.1037498190999031,-0.16694621741771698,0.16150732338428497
rnn.weight_ih_l1,"(32, 32)",1024,-0.005328741390258074,0.1092870905995369,-0.29072511196136475,0.2576792240142822
rnn.weight_hh_l1,"(32, 32)",1024,0.008308934047818184,0.11029040813446045,-0.2334783524274826,0.2671281695365906
rnn.bias_ih_l1,"(32,)",32,0.0022479891777038574,0.10356070846319199,-0.19995801150798798,0.15325845777988434
rnn.bias_hh_l1,"(32,)",32,0.02333962358534336,0.09445184469223022,-0.1343475729227066,0.16189728677272797
fc.weight,"(2, 32)",64,-0.00040070153772830963,0.14018593728542328,-0.2428879737854004,0.22455838322639465
fc.bias,"(2,)",2,-0.15914766490459442,0.0387437529861927,-0.19789141416549683,-0.12040390819311142
